kharada,English
ಹಾವ ಹಂಗ ಒಟ್ಟ,I am here
ತೋ ಹಂಗ ಒಟ್ಟ,He is there
ತೀ ಅತ್ತ ಏರ,She comes now
ಅಮ್ಮಿ ಘರಾನಿ ಒಚ್ಚ,Let us go home
ಈ ಮುಕ್ಕ ಇಷ್ಟ,I like this
ತೆಣೆ ತೇ ಗಳ್ಳ,He took that
ತೀ ಮುಕ್ಕ ಪಳೇರ,She sees me
ಸಂಗತಾ ಚೌನ್ಕ್ಯಾ,Let us walk together
ವೆಗ್ಗಿ ಸಾಂಗ,Reply quickly
ತೇ ಪಾಲಾಕ ರೋಕ ಅಸ್ಸ,That is very beautiful
ತೋ ಸತ್ಯ ಸಂಗರ,He tells truth
ತೀ ಚಾಯ ಕರ್ರ,She makes tea
ಆಜಿ ವಾಚ್ಯ,Let us study today
ಇದ್ದು ರಾಖ,Please wait
ತೆಣ ಪುಸ್ತಕ ಹಾಣ್ಣು ದಿಲ್ಲ,He brought book
ತೆಣೆ ಕಿಟಕಿ ಕಾಳ್ಳ,She opened window
ಏಕ ಪ್ರಶ್ನೆ ವಿತಾರ್ರ,Let us ask question
ಕಾಲ್ ಕಾರಿ,Call me
ಎ ಸಮ ದಲ್ಲ ಉತ್ತರ,This is correct answer
ತುವೆ ಕಂಗಲ್ಲ ನಿರ್ಧಾರ ತಪ್ಪು,That is wrong decision
ಮುಕ್ಕ ಇದ್ದುಸಹಾವು ಕಾರಿ,Help me
ತೋ ವೆಗ್ಗಿ ಚೌನ್ಕರ,He walks fast
ಅಮ್ಮಿ ಕೆಲಸ ಮುಂದುವರಿಸ್ಪ್ಯಾ,Let us continue work
ಬಿತರಿ ಯೋ,Come inside
ನವೆ ಪುಸ್ತಕ ದಾಯೆ,I need new book
ತೆಣ ಶಾಲೆಕ ಒಚ್ಚಾಕ ಶುರು ಕೆಲ್ಲ,He started school
ತೀ ಹಾಡು ಅಯ್ಕರ,She listens song
ಅಮ್ಮಿ ಸಕ್ಕಳಾ ಧೌವ್ಯ,Let us run morning
ತುವೆ ಸಮ ಮಲ್ಲ,You said right
ವೋ ಮತ್ತ ಸ್ನೇಹಿತ,This is my friend
ಏ ಅಮ್ತ ಗಾಂವ,That is our village
ಮುಕ್ಕ ಸಮಯ ಮೇಳ್ಳ,I got time
ತೋ ಕೆಲಸ ಸೊದ್ದುನ್ಗಣ್ಣೊಟ್ಟ,He seeks job
ತೆಣೆ ಫಲ ಕುಟ್ಟಂಕೆಲ್ಲ,She cut fruit
ಅಮ್ಮಿ ಪೈ ಮೇಳ್ಯ್,Let us meet tomorrow
