kharada,english
ಅದು ಸಣ್ಣ ಮರ,that is small tree
ಅವನು ಪತ್ರ ಬರೆಯುತ್ತಾನೆ,he writes letter
ನಾವು ಪುಸ್ತಕ ಓದೋಣ,let us read book
ಅವಳು ಹಾಡು ಕಲಿತುಕೊಂಡಳು,she learned song
ನೀವು ಪ್ರಶ್ನೆ ಕೇಳಿ,ask question
ನಾವು ಆಟ ಆಡಿದೆವು,we played game
ಅದು ದೊಡ್ಡ ಅವಕಾಶ,that is big opportunity
ಇದು ಸರಳ ಕೆಲಸ,this is simple work
ನನಗೆ ಉತ್ತರ ಸಿಕ್ಕಿತು,i got answer
ಅದು ಸಣ್ಣ ಮನೆ,that is small house
ಅದು ಕಷ್ಟ ಕೆಲಸ,that is hard work
ನೀನು ಬೇಗ ಉತ್ತರಿಸು,reply quickly
ನೀನು ಒಳಗೆ ಬಾ,come inside
ನನಗೆ ನಿದ್ರೆ ಬೇಕಾಗಿದೆ,i need sleep
ಅವಳು ಹಾಡು ಅಭ್ಯಾಸ ಮಾಡುತ್ತಾಳೆ,she practices song
ನಾವು ಕೆಲಸ ಮುಗಿಸೋಣ,let us finish work
ನೀನು ಏನು ಮಾಡುತ್ತೀಯ,what are you doing
ನಾನು ಸತ್ಯ ಹೇಳುತ್ತೇನೆ,i tell truth
ನೀವು ಏನು ಕೇಳುತ್ತೀರಿ,what do ask
ಅವನು ಬೇಗ ಬಂದನು,he came fast
ಇದು ನನ್ನ ಮನೆ,this is my house
ಅವನು ಪುಸ್ತಕ ಓದುತ್ತಾನೆ,he reads book
ನನಗೆ ಭಯ ಇದೆ,i am afraid
ನನ್ನ ಜೊತೆ ಬಾ,come with me
ನಾವು ಗೆಲ್ಲುತ್ತೇವೆ ಇಂದು,we will win
ನೀನು ಸರಿ ಹೇಳಿದ್ದೀಯ,you said right
ಅವನು ಬೇಗ ಹೊರಟನು,he left early
ಅವನು ನನ್ನನ್ನು ನೋಡಿದನು,he saw me
ಅವಳು ಪತ್ರ ಬರೆದಳು,she wrote letter
ನಾವು ಬೇಗ ಓಡುತ್ತೇವೆ,we run fast
ನೀವು ದಯವಿಟ್ಟು ಕಾಯಿರಿ,please wait
ನಾವು ಬೇಗ ಹೋಗಿದ್ದೇವೆ,we went fast
ನೀನು ನನಗೆ ಕರೆಮಾಡು,call me
ನೀವು ಊಟ ಮಾಡಿದ್ದೀರಾ,did you eat
ಅವನು ಮನೆ ಕಟ್ಟಿದ,he built house
ನಾವು ಜೊತೆಯಲ್ಲಿ ನಡೆಯೋಣ,let us walk together
ಅವನು ಹಣ್ಣು ತಿನ್ನುತ್ತಾನೆ,he eats fruit
ಅವಳು ಬಾಗಿಲು ಮುಚ್ಚಿದಳು ಇಂದು,she closed door today
ಅದು ಸಣ್ಣ ಪ್ರಶ್ನೆ,that is small question
ನೀನು ಸತ್ಯ ಹೇಳುತ್ತೀಯ,you tell truth
ಅದು ನಿನ್ನ ಪುಸ್ತಕ,that is your book
ನನಗೆ ಚಳಿ ಆಗಿದೆ,i feel cold
ನನಗೆ ಹಸಿವು ಇದೆ,i am hungry
ನನಗೆ ನಿದ್ರೆ ಬಂದಿದೆ,i feel sleepy
ಅದು ತಪ್ಪು ಉತ್ತರ,that is wrong answer
